key,coffee,category,calories,caffeine,price,,,,,,,,,,,,
0,Green Tea,TEA,0,25,0.10,,,,,,,,,,,,
1,Espresso,COFFEE,5,65,0.05,,,,,,,,,,,,
2,Yerba Mate,TEA,5,85,0.03,,,,,,,,,,,,
3,Double Espresso,COFFEE,6,130,0.04,,,,,,,,,,,,
4,Americano,COFFEE,15,225,0.02,,,,,,,,,,,,
5,Americano + milk,COFFEE,30,225,0.02,,,,,,,,,,,,
6,English Breakfast + 1 sugar,TEA,39,26,0.13,,,,,,,,,,,,
7,Turkish Coffee ,COFFEE,46,25,0.12,,,,,,,,,,,,
8,Red Bull,SOFT DRINK,46,77,0.03,,,,,,,,,,,,
9,Sugar-free Hot Chocolate,CHOCOLATE,60,5,0.50,,,,,,,,,,,,
10,Instant Coffee + 2 sugars,COFFEE,83,47,0.01,,,,,,,,,,,,
11,Café Crème,COFFEE,106,225,0.02,,,,,,,,,,,,
12,Cappuccino ,COFFEE,120,150,0.03,,,,,,,,,,,,
13,Pepsi,SOFT DRINK,138.6,38,0.03,,,,,,,,,,,,
14,Coke ,SOFT DRINK,150,32,0.03,,,,,,,,,,,,
15,Latte,COFFEE,190,150,0.03,,,,,,,,,,,,
16,Dark Chocolate Bar ,NON-DRINK,205,42,0.03,,,,,,,,,,,,
17,Mocha (small),COFFEE,220,195,0.02,,,,,,,,,,,,
18,Chai Latte ,TEA,240,95,0.05,,,,,,,,,,,,
19,Lucozade,SOFT DRINK,266,46,0.02,,,,,,,,,,,,
20,Mountain Dew,SOFT DRINK,290,91,0.01,,,,,,,,,,,,
21,Spiced Hot Chocolate ,CHOCOLATE,320,25,0.24,,,,,,,,,,,,
22,Ghana-Java Hot Chocolate ,CHOCOLATE,380,25,0.24,,,,,,,,,,,,
23,Vanilla Cream Frappuccino ,COFFEE,400,65,0.10,,,,,,,,,,,,
24,Frappuccino ,COFFEE,410,110,0.06,,,,,,,,,,,,
25,Caramel Sticky Mocha ,COFFEE,420,110,0.05,,,,,,,,,,,,
26,Mocha (big),COFFEE,430,150,0.04,,,,,,,,,,,,
27,Hot choc + marshmallows,CHOCOLATE,480,25,0.23,,,,,,,,,,,,
28,Coffee Ice Cream ,NON-DRINK,500,48,0.06,,,,,,,,,,,,






































































































































































































































































































































































































































































































































































































































































































































































































































































































































key,coffee,coffeeArabic,caloriesActual,caffeineActual,priceMGActual,category,calories,caffeine,priceMG,silhouette,,,,,,,
0,Green Tea,Green Tea,0,25,0.10,TEA,0,25,0.10,tea,,,,,,,
1,Pain relieving medication ,Pain relieving medication ,0,30,0.01,NON-DRINK,0,30,0.01,pill,,,,,,,
2,Diet Coke ,Diet Coke ,0,42,0.02,SOFT DRINK,0,42,0.02,can,,,,,,,
3,Pain relieving medication ,Pain relieving medication ,0,90,0.00,NON-DRINK,0,90,0.00,pill,,,,,,,
4,Pepsi One,Pepsi One,1,55,0.02,SOFT DRINK,1,55,0.02,can,,,,,,,
5,Earl Grey,Earl Grey,2,58,0.06,TEA,2,58,0.06,tea,,,,,,,
6,English Breakfast,English Breakfast,2,58,0.06,TEA,2,58,0.06,tea,,,,,,,
7,Instant Coffee,Instant Coffee,4,47,0.00,COFFEE,4,47,0.00,large,,,,,,,
8,DeCaffèinated Espresso,DeCaffèinated Espresso,5,25,0.20,COFFEE,5,25,0.20,espresso,,,,,,,
9,Espresso,Espresso,5,65,0.05,COFFEE,5,65,0.05,espresso,,,,,,,
10,Yerba Mate,Yerba Mate,5,85,0.03,TEA,5,85,0.03,tea,,,,,,,
11,Dark Roast,Dark Roast,5,260,0.01,COFFEE,5,260,0.01,espresso,,,,,,,
12,Medium Roast ,Medium Roast ,5,310,0.01,COFFEE,5,300,0.01,large,,,,,,,
13,Blond Roast ,Blond Roast ,5,360,0.01,COFFEE,5,300,0.01,iced,,,,,,,
14,Double Espresso,Double Espresso,6,130,0.04,COFFEE,6,130,0.04,espresso,,,,,,,
15,Espresso Machiato ,Espresso Machiato ,9,65,0.08,COFFEE,9,65,0.08,espresso,,,,,,,
16,Caffè Americano,Caffè Americano,15,225,0.02,COFFEE,15,225,0.02,large,,,,,,,
17,Iced Caffè Americano ,Iced Caffè Americano ,15,225,0.02,COFFEE,15,225,0.02,iced,,,,,,,
18,Arabic Coffee,Arabic Coffee,16,100,0.04,COFFEE,16,100,0.04,espresso,,,,,,,
19,English Breakfast tea with 2% fat milk ,English Breakfast tea with 2% fat milk ,23,26,0.13,TEA,23,26,0.13,tea,,,,,,,
20,Lungo,Lungo,25,60,0.04,COFFEE,25,60,0.04,espresso,,,,,,,
21,Caffè Americano with 2% fat milk,Caffè Americano with 2% fat milk,30,225,0.02,COFFEE,30,225,0.02,large,,,,,,,
22,English Breakfast tea with 2% fat milk & 1 sugar ,English Breakfast tea with 2% fat milk & 1 sugar ,39,26,0.13,TEA,39,26,0.13,tea,,,,,,,
23,Marocchino ,Marocchino ,43,90,0.07,COFFEE,43,90,0.07,espresso,,,,,,,
24,Turkish Coffee ,Turkish Coffee ,46,25,0.12,COFFEE,46,25,0.12,espresso,,,,,,,
25,Red Bull,Red Bull,46,77,0.03,SOFT DRINK,46,77,0.03,redbull,,,,,,,
26,Instant Coffee with milk,Instant Coffee with milk,51,47,0.01,COFFEE,51,47,0.01,large,,,,,,,
27,English Breakfast tea with 2% fat milk & 2 sugars ,English Breakfast tea with 2% fat milk & 2 sugars ,55,26,0.13,TEA,55,26,0.13,tea,,,,,,,
28,Marocchino Bicolore ,Marocchino Bicolore ,55,75,0.08,COFFEE,55,75,0.08,espresso,,,,,,,
29,Sugar-free Hot Chocolate,Sugar-free Hot Chocolate,60,5,1.26,CHOCOLATE,60,5,0.50,large,,,,,,,
30,Instant Coffee with milk & 2 sugars,Instant Coffee with milk & 2 sugars,83,47,0.01,COFFEE,83,47,0.01,large,,,,,,,
31,Espresso Con Panna ,Espresso Con Panna ,89,65,0.08,COFFEE,89,65,0.08,viennese,,,,,,,
32,Caffè Shakerato ,Caffè Shakerato ,100,225,0.03,COFFEE,100,225,0.03,iced,,,,,,,
33,Café Crème,Café Crème,106,225,0.02,COFFEE,106,225,0.02,espresso,,,,,,,
34,Estivo ,Estivo ,120,150,0.04,COFFEE,120,150,0.04,espresso,,,,,,,
35,Cappuccino ,Cappuccino ,120,150,0.03,COFFEE,120,150,0.03,tea,,,,,,,
36,Karak Tea,Karak Tea,122,48,0.09,TEA,122,48,0.09,tea,,,,,,,
37,Iced Latte ,Iced Latte ,130,150,0.03,COFFEE,130,150,0.03,iced,,,,,,,
38,Pepsi,Pepsi,138.6,38,0.03,SOFT DRINK,138.6,38,0.03,can,,,,,,,
39,Cannellino ,Cannellino ,143,65,0.09,COFFEE,143,65,0.09,espresso,,,,,,,
40,Coke ,Coke ,150,32,0.03,SOFT DRINK,150,32,0.03,can,,,,,,,
41,Dr Pepper ,Dr Pepper ,150,41,0.02,SOFT DRINK,150,41,0.02,can,,,,,,,
42,Caramella Freddo ,Caramella Freddo ,165,65,0.09,COFFEE,165,65,0.09,iced,,,,,,,
43,Cioccolata ,Cioccolata ,181,25,0.20,CHOCOLATE,181,25,0.20,large,,,,,,,
44,Caffè Latte ,Caffè Latte ,190,150,0.03,COFFEE,190,150,0.03,tea,,,,,,,
45,West African Dark Hot Chocolate,West African Dark Hot Chocolate,200,25,0.24,CHOCOLATE,200,25,0.24,large,,,,,,,
46,Viennese ,Viennese ,200,150,0.04,COFFEE,200,150,0.04,viennese,,,,,,,
47,Dark Chocolate Bar ,Dark Chocolate Bar ,205,42,0.03,NON-DRINK,205,42,0.03,chocolate,,,,,,,
48,Caffè Mocha ,Caffè Mocha ,220,195,0.02,COFFEE,220,195,0.02,espresso,,,,,,,
49,Green Tea Latte ,Green Tea Latte ,240,80,0.07,TEA,240,80,0.07,tea,,,,,,,
50,Chai Latte ,Chai Latte ,240,95,0.05,TEA,240,95,0.05,tea,,,,,,,
51,Iced Caramel Macchiato ,Iced Caramel Macchiato ,250,150,0.03,COFFEE,250,150,0.03,iced,,,,,,,
52,Cinnamon Vanilla Latté ,Cinnamon Vanilla Latté ,250,150,0.03,COFFEE,250,150,0.03,espresso,,,,,,,
53,Caramel Macchiato ,Caramel Macchiato ,250,150,0.03,COFFEE,250,150,0.03,espresso,,,,,,,
54,Torroncino ,Torroncino ,256,90,0.07,COFFEE,256,90,0.07,espresso,,,,,,,
55,Lucozade,Lucozade,266,46,0.02,SOFT DRINK,266,46,0.02,lucozade,,,,,,,
56,Bananino ,Bananino ,268,65,0.09,COFFEE,268,65,0.09,iced,,,,,,,
57,Cremino ,Cremino ,276,65,0.09,COFFEE,276,65,0.09,iced,,,,,,,
58,Caramel Frappuccino ,Caramel Frappuccino ,280,100,0.06,COFFEE,280,100,0.06,iced,,,,,,,
59,Mountain Dew,Mountain Dew,290,91,0.01,SOFT DRINK,290,91,0.01,mtn-dew,,,,,,,
60,Signature Hot Chocolate ,Signature Hot Chocolate ,320,25,0.21,CHOCOLATE,320,25,0.21,large,,,,,,,
61,Spiced Hot Chocolate ,Spiced Hot Chocolate ,320,25,0.24,CHOCOLATE,320,25,0.24,large,,,,,,,
62,Nocciolino ,Nocciolino ,327,65,0.09,COFFEE,327,65,0.09,espresso,,,,,,,
63,Marocchino Speciale,Marocchino Speciale,360,175,0.03,COFFEE,360,175,0.03,espresso,,,,,,,
64,Marocchino Speciale ,Marocchino Speciale ,363,90,0.07,COFFEE,363,90,0.07,espresso,,,,,,,
65,Vanillino ,Vanillino ,375,65,0.09,COFFEE,375,65,0.09,iced,,,,,,,
66,Ghana-Java Hot Chocolate ,Ghana-Java Hot Chocolate ,380,25,0.24,CHOCOLATE,380,25,0.24,large,,,,,,,
67,Orange Zest Hot Chocolate,Orange Zest Hot Chocolate,380,25,0.28,CHOCOLATE,380,25,0.28,large,,,,,,,
68,Rose Hot Chocolate,Rose Hot Chocolate,380,25,0.28,CHOCOLATE,380,25,0.28,large,,,,,,,
69,Choccolino ,Choccolino ,385,65,0.09,CHOCOLATE,385,65,0.09,iced,,,,,,,
70,Signature Hot Chocolate ,Signature Hot Chocolate ,400,25,0.21,CHOCOLATE,400,25,0.21,large,,,,,,,
71,Vanilla Cream Frappuccino ,Vanilla Cream Frappuccino ,400,65,0.10,COFFEE,400,65,0.10,iced,,,,,,,
72,Caramel Frappuccino,Caramel Frappuccino,410,100,0.06,COFFEE,410,100,0.06,iced,,,,,,,
73,Frappuccino ,Frappuccino ,410,110,0.06,COFFEE,410,110,0.06,iced,,,,,,,
74,Mocha Chocolate Chip Frappuccino ,موكا فراباشينو مع حبيبات شوكولاته,420,15,0.42,COFFEE,420,15,0.42,iced,,,,,,,
75,Caramel Sticky Mocha ,Caramel Sticky Mocha ,420,110,0.05,COFFEE,420,110,0.05,espresso,,,,,,,
76,Spanish Blend ,Spanish Blend ,425,25,0.24,COFFEE,425,25,0.24,espresso,,,,,,,
77,White Mocha ,موكا بيضة,430,65,0.09,COFFEE,430,65,0.09,espresso,,,,,,,
78,Caffè Mocha ,قهوة موكا,430,150,0.04,COFFEE,430,150,0.04,espresso,,,,,,,
79,Frozen Chocolate ,مشروب شوكولاته مفرزة,460,25,0.24,CHOCOLATE,460,25,0.24,espresso,,,,,,,
80,1882,1882,460,150,0.05,CHOCOLATE,460,150,0.05,iced,,,,,,,
81,Mellow Chocolate ,Mellow Chocolate ,480,25,0.23,CHOCOLATE,480,25,0.23,espresso,,,,,,,
82,Coffee Ice Cream ,بوظة القهوة,540,48,0.06,NON-DRINK,500,48,0.06,ice-cream,,,,,,,






































































































































































































































































































































































































































































































































































































































































































































































































































































































































